t,y
0,-1e-6
1,0.005095
2,0.005093
3,0.005091
4,-9e-6
5,0.005086
6,-1.4e-5
7,0.005082
8,-1.8e-5
9,-2.1e-5
10,-2.4e-5
11,0.005071
12,-3e-5
13,-3.2e-5
14,0.005063
15,-3.7e-5
16,0.005059
17,-4.1e-5
18,0.005054
19,0.005052
20,0.005049
21,0.005047
22,-5.3e-5
23,-5.6e-5
24,-5.8e-5
25,-6.1e-5
26,0.005034
27,-6.6e-5
28,0.00503
29,-7e-5
30,-7.3e-5
31,0.005021
32,-7.9e-5
33,0.005017
34,0.005015
35,-8.5e-5
36,0.00501
37,-9e-5
38,0.005006
39,-9.4e-5
40,0.005
41,-1e-4
42,0.004995
43,-1.05e-4
44,0.004991
45,-1.09e-4
46,-1.12e-4
47,-1.15e-4
48,-1.17e-4
49,-1.2e-4
50,-1.23e-4
51,-1.26e-4
52,-1.29e-4
53,-1.31e-4
54,-1.34e-4
55,-1.36e-4
56,-1.39e-4
57,-1.42e-4
58,0.004954
59,-1.46e-4
60,-1.49e-4
61,-1.53e-4
62,-1.55e-4
63,0.00494
64,-1.6e-4
65,0.004936
66,0.004934
67,0.004932
68,0.00493
69,-1.7e-4
70,-1.74e-4
71,-1.77e-4
72,-1.79e-4
73,-1.82e-4
74,0.004913
75,-1.87e-4
76,0.004909
77,-1.91e-4
78,0.004904
79,0.004902
80,-1.98e-4
81,0.004896
82,-2.04e-4
83,-2.06e-4
84,-2.09e-4
85,-2.11e-4
86,-2.14e-4
87,-2.17e-4
88,-0.005316
89,-2.22e-4
90,-2.25e-4
91,-0.005326
92,-2.32e-4
93,-2.34e-4
94,-2.37e-4
95,-2.39e-4
96,-2.42e-4
97,0.004853
98,0.004851
99,0.004849
100,0.004847
101,-2.54e-4
102,-2.57e-4
103,-2.59e-4
104,-2.62e-4
105,-0.005361
106,-2.67e-4
107,-0.005367
108,0.004825
109,-2.75e-4
110,-2.78e-4
111,0.004816
112,-2.84e-4
113,-0.005383
114,0.004809
115,-0.005388
116,-2.94e-4
117,-2.97e-4
118,-3e-4
119,-3.02e-4
120,-3.05e-4
121,-3.09e-4
122,-3.11e-4
123,-3.14e-4
124,0.004782
125,-3.18e-4
126,-3.21e-4
127,-3.23e-4
128,-3.26e-4
129,-3.29e-4
130,-3.32e-4
131,-3.35e-4
132,-3.38e-4
133,-3.4e-4
134,-3.43e-4
135,-3.45e-4
136,-3.48e-4
137,-3.5e-4
138,-3.53e-4
139,-3.56e-4
140,-3.59e-4
141,0.004736
142,-3.64e-4
143,-3.67e-4
144,-3.69e-4
145,-3.72e-4
146,-3.74e-4
147,-3.77e-4
148,-3.79e-4
149,-3.82e-4
150,-3.85e-4
151,0.00471
152,-3.9e-4
153,-3.93e-4
154,-3.96e-4
155,-3.98e-4
156,-0.005498
157,-4.04e-4
158,-4.06e-4
159,0.004689
160,-4.12e-4
161,-4.15e-4
162,-4.17e-4
163,-4.2e-4
164,-4.23e-4
165,-4.25e-4
166,-4.28e-4
167,-4.3e-4
168,-4.33e-4
169,-4.35e-4
170,-4.39e-4
171,0.004656
172,-4.44e-4
173,-4.46e-4
174,-4.49e-4
175,0.004646
176,0.004644
177,-4.56e-4
178,-4.58e-4
179,-4.61e-4
180,0.004634
181,-4.67e-4
182,-4.69e-4
183,-4.72e-4
184,-4.74e-4
185,-0.005574
186,-4.8e-4
187,-4.83e-4
188,-4.85e-4
189,-4.88e-4
190,-4.91e-4
191,-4.94e-4
192,-4.97e-4
193,-4.99e-4
194,-5.02e-4
195,-5.04e-4
196,-5.07e-4
197,0.004588
198,0.004586
199,-5.14e-4
200,-5.17e-4
201,0.004578
202,-5.22e-4
203,-5.25e-4
204,-5.27e-4
205,0.004568
206,0.004566
207,-5.34e-4
208,0.004562
209,-0.005635
210,-5.42e-4
211,-5.45e-4
212,-5.48e-4
213,-5.51e-4
214,0.004545
215,-5.55e-4
216,0.00454
217,-0.005657
218,-5.63e-4
219,0.004533
220,0.00453
221,-5.71e-4
222,-0.00567
223,-5.76e-4
224,-5.79e-4
225,-5.82e-4
226,-5.84e-4
227,0.004511
228,-5.89e-4
229,-5.91e-4
230,-5.94e-4
231,-5.98e-4
232,-6e-4
233,-6.03e-4
234,0.004493
235,-6.07e-4
236,0.004488
237,-6.12e-4
238,-6.15e-4
239,0.004481
240,-6.2e-4
241,0.004475
242,-6.25e-4
