t,y
0,0.377799
1,0.382897
2,0.382897
3,0.382897
4,0.377799
5,0.382897
6,0.377799
7,0.382897
8,0.377799
9,0.377799
10,0.377799
11,0.382897
12,0.377799
13,0.377799
14,0.382897
15,0.377799
16,0.382897
17,0.377799
18,0.382897
19,0.382897
20,0.382897
21,0.382897
22,0.377799
23,0.377799
24,0.377799
25,0.377799
26,0.382897
27,0.377799
28,0.382897
29,0.377799
30,0.377799
31,0.382897
32,0.377799
33,0.382897
34,0.382897
35,0.377799
36,0.382897
37,0.377799
38,0.382897
39,0.377799
40,0.382897
41,0.377799
42,0.382897
43,0.377799
44,0.382897
45,0.377799
46,0.377799
47,0.377799
48,0.377799
49,0.377799
50,0.377799
51,0.377799
52,0.377799
53,0.377799
54,0.377799
55,0.377799
56,0.377799
57,0.377799
58,0.382897
59,0.377799
60,0.377799
61,0.377799
62,0.377799
63,0.382897
64,0.377799
65,0.382897
66,0.382897
67,0.382897
68,0.382897
69,0.377799
70,0.377799
71,0.377799
72,0.377799
73,0.377799
74,0.382897
75,0.377799
76,0.382897
77,0.377799
78,0.382897
79,0.382897
80,0.377799
81,0.382897
82,0.377799
83,0.377799
84,0.377799
85,0.377799
86,0.377799
87,0.377799
88,0.372702
89,0.377799
90,0.377799
91,0.372702
92,0.377799
93,0.377799
94,0.377799
95,0.377799
96,0.377799
97,0.382897
98,0.382897
99,0.382897
100,0.382897
101,0.377799
102,0.377799
103,0.377799
104,0.377799
105,0.372702
106,0.377799
107,0.372702
108,0.382897
109,0.377799
110,0.377799
111,0.382897
112,0.377799
113,0.372702
114,0.382897
115,0.372702
116,0.377799
117,0.377799
118,0.377799
119,0.377799
120,0.377799
121,0.377799
122,0.377799
123,0.377799
124,0.382897
125,0.377799
126,0.377799
127,0.377799
128,0.377799
129,0.377799
130,0.377799
131,0.377799
132,0.377799
133,0.377799
134,0.377799
135,0.377799
136,0.377799
137,0.377799
138,0.377799
139,0.377799
140,0.377799
141,0.382897
142,0.377799
143,0.377799
144,0.377799
145,0.377799
146,0.377799
147,0.377799
148,0.377799
149,0.377799
150,0.377799
151,0.382897
152,0.377799
153,0.377799
154,0.377799
155,0.377799
156,0.372702
157,0.377799
158,0.377799
159,0.382897
160,0.377799
161,0.377799
162,0.377799
163,0.377799
164,0.377799
165,0.377799
166,0.377799
167,0.377799
168,0.377799
169,0.377799
170,0.377799
171,0.382897
172,0.377799
173,0.377799
174,0.377799
175,0.382897
176,0.382897
177,0.377799
178,0.377799
179,0.377799
180,0.382897
181,0.377799
182,0.377799
183,0.377799
184,0.377799
185,0.372702
186,0.377799
187,0.377799
188,0.377799
189,0.377799
190,0.377799
191,0.377799
192,0.377799
193,0.377799
194,0.377799
195,0.377799
196,0.377799
197,0.382897
198,0.382897
199,0.377799
200,0.377799
201,0.382897
202,0.377799
203,0.377799
204,0.377799
205,0.382897
206,0.382897
207,0.377799
208,0.382897
209,0.372702
210,0.377799
211,0.377799
212,0.377799
213,0.377799
214,0.382897
215,0.377799
216,0.382897
217,0.372702
218,0.377799
219,0.382897
220,0.382897
221,0.377799
222,0.372702
223,0.377799
224,0.377799
225,0.377799
226,0.377799
227,0.382897
228,0.377799
229,0.377799
230,0.377799
231,0.377799
232,0.377799
233,0.377799
234,0.382897
235,0.377799
236,0.382897
237,0.377799
238,0.377799
239,0.382897
240,0.377799
241,0.382897
242,0.377799
243,0.377799
244,0.382897
245,0.377799
246,0.377799
247,0.377799
248,0.382897
249,0.377799
250,0.377799
251,0.377799
252,0.382897
253,0.382897
254,0.387994
255,0.377799
256,0.377799
257,0.377799
258,0.382897
259,0.377799
260,0.382897
261,0.387994
262,0.387994
263,0.382897
264,0.382897
265,0.382897
266,0.387994
267,0.382897
268,0.387994
269,0.387994
270,0.382897
271,0.387994
272,0.387994
273,0.387994
274,0.393092
275,0.387994
276,0.393092
277,0.393092
278,0.393092
279,0.387994
280,0.387994
281,0.393092
282,0.387994
283,0.387994
284,0.393092
285,0.387994
286,0.398189
287,0.393092
288,0.387994
289,0.387994
290,0.393092
291,0.393092
292,0.393092
293,0.393092
294,0.393092
295,0.387994
296,0.387994
297,0.393092
298,0.393092
299,0.393092
300,0.393092
301,0.398189
302,0.393092
303,0.393092
304,0.393092
305,0.393092
306,0.393092
307,0.393092
308,0.393092
309,0.393092
310,0.398189
311,0.393092
312,0.398189
313,0.398189
314,0.398189
315,0.398189
316,0.398189
317,0.393092
318,0.393092
319,0.393092
320,0.393092
321,0.393092
322,0.398189
323,0.398189
324,0.393092
325,0.398189
326,0.393092
327,0.398189
328,0.393092
